candidate_name,pct,sample_size,state,start_date,end_date,methodology,party,candidate_win
Kamala Harris,46,11297,National,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,45,11297,National,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,47,9850,National,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,46,9850,National,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,46,2137,National,2024-07-22,2024-07-24,Text-to-Web/Online Ad,DEM,0
Kamala Harris,46,1142,National,2024-07-22,2024-07-24,Live Phone,DEM,0
Donald Trump,48,1142,National,2024-07-22,2024-07-24,Live Phone,REP,0
Kamala Harris,42,1142,National,2024-07-22,2024-07-24,Live Phone,DEM,0
Donald Trump,42,1142,National,2024-07-22,2024-07-24,Live Phone,REP,0
Kamala Harris,44,1142,National,2024-07-22,2024-07-24,Live Phone,DEM,0
Kamala Harris,43,435,Nevada,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,45,435,Nevada,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,42,851,Pennsylvania,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,46,851,Pennsylvania,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,43,586,North Carolina,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,46,586,North Carolina,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,43,510,Arizona,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,47,572,Florida,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,42,1180,Georgia,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,47,1180,Georgia,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,41,512,Michigan,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,44,512,Michigan,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,44,475,Minnesota,2024-07-22,2024-07-24,Online Panel,DEM,0
Donald Trump,41,475,Minnesota,2024-07-22,2024-07-24,Online Panel,REP,0
Kamala Harris,44,523,Wisconsin,2024-07-22,2024-07-24,Online Panel,DEM,0
Kamala Harris,41.6,600,Michigan,2024-07-22,2024-07-24,Live Phone,DEM,0
Donald Trump,41.3,600,Michigan,2024-07-22,2024-07-24,Live Phone,REP,0
Donald Trump,40.3,600,Michigan,2024-07-22,2024-07-24,Live Phone,REP,0
Donald Trump,46,1046,Wisconsin,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Kamala Harris,49,1046,Wisconsin,2024-07-22,2024-07-24,Live Phone/Text-to-Web,DEM,0
Donald Trump,50,1046,Wisconsin,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Donald Trump,49,1046,Wisconsin,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Donald Trump,43,1034,Pennsylvania,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Kamala Harris,49,1034,Pennsylvania,2024-07-22,2024-07-24,Live Phone/Text-to-Web,DEM,0
Donald Trump,49,1034,Pennsylvania,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Donald Trump,44,1034,Pennsylvania,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Kamala Harris,47,1071,Minnesota,2024-07-22,2024-07-24,Live Phone/Text-to-Web,DEM,0
Donald Trump,41,1071,Minnesota,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Kamala Harris,52,1071,Minnesota,2024-07-22,2024-07-24,Live Phone/Text-to-Web,DEM,0
Donald Trump,46,1071,Minnesota,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Donald Trump,45,1071,Minnesota,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Kamala Harris,43,1012,Michigan,2024-07-22,2024-07-24,Live Phone/Text-to-Web,DEM,0
Donald Trump,45,1012,Michigan,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Donald Trump,49,1012,Michigan,2024-07-22,2024-07-24,Live Phone/Text-to-Web,REP,0
Joe Biden,35,1200,Florida,2024-07-19,2024-07-24,Online Panel,DEM,0
Joe Biden,39,988,Florida,2024-07-19,2024-07-24,Online Panel,DEM,0
Kamala Harris,39,1200,Florida,2024-07-19,2024-07-24,Online Panel,DEM,0
Donald Trump,46,1200,Florida,2024-07-19,2024-07-24,Online Panel,REP,0
Kamala Harris,42,988,Florida,2024-07-19,2024-07-24,Online Panel,DEM,0
Kamala Harris,44,1018,National,2024-07-22,2024-07-23,Probability Panel,DEM,0
Donald Trump,34,1241,National,2024-07-22,2024-07-23,Probability Panel,REP,0
Kamala Harris,42,1018,National,2024-07-22,2024-07-23,Probability Panel,DEM,0
Kamala Harris,47.4,800,Arizona,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Kamala Harris,39.8,800,Arizona,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Kamala Harris,48.9,800,Georgia,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Kamala Harris,43.3,800,Georgia,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Kamala Harris,49.1,800,Michigan,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,50.9,800,Michigan,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,43.8,800,Michigan,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,44.1,800,Michigan,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,50.6,845,Wisconsin,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,49.4,845,Wisconsin,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,45.4,845,Wisconsin,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,44.9,845,Wisconsin,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,48.9,850,Pennsylvania,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Kamala Harris,44.3,850,Pennsylvania,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,46.1,850,Pennsylvania,2024-07-22,2024-07-23,IVR/Online Panel/Text-to-Web,REP,0
Donald Trump,46,1155,National,2024-07-22,2024-07-23,Online Panel,REP,0
Kamala Harris,41,1435,National,2024-07-21,2024-07-23,Online Panel,DEM,0
Donald Trump,44,1435,National,2024-07-21,2024-07-23,Online Panel,REP,0
Kamala Harris,49.5,1000,National,2024-07-21,2024-07-23,App Panel,DEM,0
Joe Biden,35,147,Pennsylvania,2024-07-20,2024-07-23,Live Phone,DEM,0
Donald Trump,42,147,Pennsylvania,2024-07-20,2024-07-23,Live Phone,REP,0
Kamala Harris,45,600,Pennsylvania,2024-07-20,2024-07-23,Live Phone,DEM,0
Kamala Harris,45,1117,National,2024-07-22,2024-07-22,Online Panel,DEM,0
Kamala Harris,42,1117,National,2024-07-22,2024-07-22,Online Panel,DEM,0
Donald Trump,42,1117,National,2024-07-22,2024-07-22,Online Panel,REP,0
Kamala Harris,45,4001,National,2024-07-21,2024-07-22,Online Panel,DEM,0
Donald Trump,47,4001,National,2024-07-21,2024-07-22,Online Panel,REP,0
Joe Biden,45,1115,National,2024-07-19,2024-07-22,Online Panel,DEM,0
Donald Trump,45,1115,National,2024-07-19,2024-07-22,Online Panel,REP,0
Donald Trump,43,1178,National,2024-07-19,2024-07-22,Online Panel,REP,0
Donald Trump,46,1178,National,2024-07-19,2024-07-22,Online Panel,REP,0
Donald Trump,46,1178,National,2024-07-19,2024-07-22,Online Panel,REP,0
Donald Trump,46,1178,National,2024-07-19,2024-07-22,Online Panel,REP,0
Kamala Harris,43,800,National,2024-07-21,2024-07-21,Online Ad,DEM,0
Kamala Harris,37,800,National,2024-07-21,2024-07-21,Online Ad,DEM,0
Donald Trump,43,800,National,2024-07-21,2024-07-21,Online Ad,REP,0
Donald Trump,50,500,Pennsylvania,2024-07-20,2024-07-21,Online Ad,REP,0
Kamala Harris,47,982,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,49,982,National,2024-07-19,2024-07-21,Online Panel,REP,0
Donald Trump,43,982,National,2024-07-19,2024-07-21,Online Panel,REP,0
Donald Trump,48,982,National,2024-07-19,2024-07-21,Online Panel,REP,0
Donald Trump,50,982,National,2024-07-19,2024-07-21,Online Panel,REP,0
Donald Trump,53,2753,National,2024-07-19,2024-07-21,Online Panel,REP,0
Joe Biden,46,2169,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,54,2169,National,2024-07-19,2024-07-21,Online Panel,REP,0
Joe Biden,37,2753,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,46,2753,National,2024-07-19,2024-07-21,Online Panel,REP,0
Joe Biden,38,2169,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,49,2169,National,2024-07-19,2024-07-21,Online Panel,REP,0
Joe Biden,37,2753,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,46,2753,National,2024-07-19,2024-07-21,Online Panel,REP,0
Joe Biden,38,2169,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,48,2169,National,2024-07-19,2024-07-21,Online Panel,REP,0
Kamala Harris,47,2753,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,53,2753,National,2024-07-19,2024-07-21,Online Panel,REP,0
Kamala Harris,46,2169,National,2024-07-19,2024-07-21,Online Panel,DEM,0
Donald Trump,54,2169,National,2024-07-19,2024-07-21,Online Panel,REP,0
Donald Trump,48,1257,National,2024-07-19,2024-07-21,Live Phone,REP,0
Donald Trump,44,1257,National,2024-07-19,2024-07-21,Live Phone,REP,0
Kamala Harris,47,1257,National,2024-07-19,2024-07-21,Live Phone,DEM,0
Donald Trump,45,1257,National,2024-07-19,2024-07-21,Live Phone,REP,0
Joe Biden,39.8,780,National,2024-07-19,2024-07-21,IVR/Online Panel,DEM,0
Joe Biden,41.2,711,National,2024-07-19,2024-07-21,IVR/Online Panel,DEM,0
Donald Trump,48.9,711,National,2024-07-19,2024-07-21,IVR/Online Panel,REP,0
Joe Biden,35.5,780,National,2024-07-19,2024-07-21,IVR/Online Panel,DEM,0
Joe Biden,36.6,711,National,2024-07-19,2024-07-21,IVR/Online Panel,DEM,0
Donald Trump,44.5,711,National,2024-07-19,2024-07-21,IVR/Online Panel,REP,0
Donald Trump,47.4,780,National,2024-07-19,2024-07-21,IVR/Online Panel,REP,0
Kamala Harris,43.6,711,National,2024-07-19,2024-07-21,IVR/Online Panel,DEM,0
Kamala Harris,38.2,780,National,2024-07-19,2024-07-21,IVR/Online Panel,DEM,0
Donald Trump,44.1,780,National,2024-07-19,2024-07-21,IVR/Online Panel,REP,0
Kamala Harris,39.3,711,National,2024-07-19,2024-07-21,IVR/Online Panel,DEM,0
Donald Trump,45.3,711,National,2024-07-19,2024-07-21,IVR/Online Panel,REP,0
Donald Trump,46,1030,National,2024-07-14,2024-07-21,Online Panel,REP,0
Joe Biden,35,1030,National,2024-07-14,2024-07-21,Online Panel,DEM,0
Donald Trump,40,1030,National,2024-07-14,2024-07-21,Online Panel,REP,0
Joe Biden,40,736,Arizona,2024-07-19,2024-07-20,IVR/Text,DEM,0
Donald Trump,45,736,Arizona,2024-07-19,2024-07-20,IVR/Text,REP,0
Joe Biden,44,736,Arizona,2024-07-19,2024-07-20,IVR/Text,DEM,0
Kamala Harris,40,736,Arizona,2024-07-19,2024-07-20,IVR/Text,DEM,0
Donald Trump,46,736,Arizona,2024-07-19,2024-07-20,IVR/Text,REP,0
Donald Trump,45,736,Arizona,2024-07-19,2024-07-20,IVR/Text,REP,0
Donald Trump,48,573,North Carolina,2024-07-19,2024-07-20,IVR/Text,REP,0
Donald Trump,45,573,North Carolina,2024-07-19,2024-07-20,IVR/Text,REP,0
Joe Biden,52,500,New York,2024-07-18,2024-07-18,Online Ad,DEM,0
Donald Trump,41,500,New York,2024-07-18,2024-07-18,Online Ad,REP,0
Kamala Harris,52,500,New York,2024-07-18,2024-07-18,Online Ad,DEM,0
Donald Trump,41,500,New York,2024-07-18,2024-07-18,Online Ad,REP,0
Donald Trump,46,624,Pennsylvania,2024-07-17,2024-07-18,IVR/Text,REP,0
Joe Biden,44,624,Pennsylvania,2024-07-17,2024-07-18,IVR/Text,DEM,0
Donald Trump,49,624,Pennsylvania,2024-07-17,2024-07-18,IVR/Text,REP,0
Donald Trump,45,624,Pennsylvania,2024-07-17,2024-07-18,IVR/Text,REP,0
Donald Trump,43,624,Pennsylvania,2024-07-17,2024-07-18,IVR/Text,REP,0
Joe Biden,44,650,Michigan,2024-07-17,2024-07-18,IVR/Text,DEM,0
Donald Trump,45,650,Michigan,2024-07-17,2024-07-18,IVR/Text,REP,0
Joe Biden,46,650,Michigan,2024-07-17,2024-07-18,IVR/Text,DEM,0
Donald Trump,49,650,Michigan,2024-07-17,2024-07-18,IVR/Text,REP,0
Kamala Harris,41,650,Michigan,2024-07-17,2024-07-18,IVR/Text,DEM,0
Donald Trump,46,650,Michigan,2024-07-17,2024-07-18,IVR/Text,REP,0
Donald Trump,45,650,Michigan,2024-07-17,2024-07-18,IVR/Text,REP,0
Joe Biden,47,2241,National,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,52,2241,National,2024-07-16,2024-07-18,Online Panel,REP,0
Kamala Harris,48,2240,National,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,51,2240,National,2024-07-16,2024-07-18,Online Panel,REP,0
Joe Biden,47.2,500,Massachusetts,2024-07-16,2024-07-18,Live Phone,DEM,0
Donald Trump,29,500,Massachusetts,2024-07-16,2024-07-18,Live Phone,REP,0
Joe Biden,41,412,Nevada,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,44,412,Nevada,2024-07-16,2024-07-18,Online Panel,REP,0
Joe Biden,41,688,Pennsylvania,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,45,688,Pennsylvania,2024-07-16,2024-07-18,Online Panel,REP,0
Joe Biden,39,461,North Carolina,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,45,461,North Carolina,2024-07-16,2024-07-18,Online Panel,REP,0
Joe Biden,40,454,Arizona,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,44,454,Arizona,2024-07-16,2024-07-18,Online Panel,REP,0
Joe Biden,39,471,Florida,2024-07-16,2024-07-18,Online Panel,DEM,0
Joe Biden,40,618,Georgia,2024-07-16,2024-07-18,Online Panel,DEM,0
Joe Biden,41,437,Michigan,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,42,437,Michigan,2024-07-16,2024-07-18,Online Panel,REP,0
Joe Biden,42,470,Wisconsin,2024-07-16,2024-07-18,Online Panel,DEM,0
Donald Trump,48.3,1000,Georgia,2024-07-09,2024-07-18,Live Phone,REP,0
Joe Biden,41.8,1000,Georgia,2024-07-09,2024-07-18,Live Phone,DEM,0
Donald Trump,45.4,1000,Georgia,2024-07-09,2024-07-18,Live Phone,REP,0
Kamala Harris,45.9,1000,Georgia,2024-07-09,2024-07-18,Live Phone,DEM,0
Joe Biden,45.6,400,Texas,2024-06-25,2024-07-18,App Panel,DEM,0
Donald Trump,54.4,400,Texas,2024-06-25,2024-07-18,App Panel,REP,0
Joe Biden,45,800,National,2024-07-17,2024-07-17,Online Ad,DEM,0
Donald Trump,51,800,National,2024-07-17,2024-07-17,Online Ad,REP,0
Kamala Harris,44,800,National,2024-07-17,2024-07-17,Online Ad,DEM,0
Donald Trump,52,800,National,2024-07-17,2024-07-17,Online Ad,REP,0
Joe Biden,42,9414,National,2024-07-15,2024-07-17,Online Panel,DEM,0
Donald Trump,46,9414,National,2024-07-15,2024-07-17,Online Panel,REP,0
Joe Biden,43,1091,Michigan,2024-07-15,2024-07-17,IVR/Live Phone/Text/Online Panel/Email,DEM,0
Donald Trump,45.1,1091,Michigan,2024-07-15,2024-07-17,IVR/Live Phone/Text/Online Panel/Email,REP,0
Joe Biden,43,1087,Wisconsin,2024-07-15,2024-07-17,IVR/Live Phone/Text/Online Panel/Email,DEM,0
Donald Trump,45.6,1087,Wisconsin,2024-07-15,2024-07-17,IVR/Live Phone/Text/Online Panel/Email,REP,0
Joe Biden,43,2402,National,2024-07-15,2024-07-17,Online Panel,DEM,0
Donald Trump,47,2402,National,2024-07-15,2024-07-17,Online Panel,REP,0
Joe Biden,45,500,Washington,2024-07-12,2024-07-17,Online Panel,DEM,0
Kamala Harris,45,500,Washington,2024-07-12,2024-07-17,Online Panel,DEM,0
Donald Trump,40,500,Washington,2024-07-12,2024-07-17,Online Panel,REP,0
Donald Trump,38,500,Washington,2024-07-12,2024-07-17,Online Panel,REP,0
Donald Trump,43,992,National,2024-07-15,2024-07-16,Probability Panel,REP,0
Joe Biden,34,1202,National,2024-07-15,2024-07-16,Probability Panel,DEM,0
Donald Trump,36,1202,National,2024-07-15,2024-07-16,Probability Panel,REP,0
Joe Biden,39,992,National,2024-07-15,2024-07-16,Probability Panel,DEM,0
Kamala Harris,39,1202,National,2024-07-15,2024-07-16,Probability Panel,DEM,0
Donald Trump,40,1202,National,2024-07-15,2024-07-16,Probability Panel,REP,0
Donald Trump,44,992,National,2024-07-15,2024-07-16,Probability Panel,REP,0
Joe Biden,41.6,2000,National,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,46.2,2000,National,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Joe Biden,37.8,2000,National,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Joe Biden,40.3,1000,Arizona,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Joe Biden,36,1000,Arizona,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,45.6,1000,Arizona,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Joe Biden,41,1000,Georgia,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,47.3,1000,Georgia,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Joe Biden,38.7,1000,Georgia,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,45.1,1000,Michigan,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Joe Biden,40.9,1000,Nevada,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,45.6,1000,Nevada,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Donald Trump,42.9,1000,Nevada,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Joe Biden,40.7,1000,North Carolina,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Joe Biden,42.7,1000,Pennsylvania,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,47.6,1000,Pennsylvania,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Donald Trump,45.9,1000,Pennsylvania,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Donald Trump,47.6,1000,Wisconsin,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,REP,0
Joe Biden,42.6,1000,Wisconsin,2024-07-15,2024-07-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,45,4000,National,2024-07-14,2024-07-16,Online Panel,REP,0
Joe Biden,41,1404,National,2024-07-13,2024-07-16,Online Panel,DEM,0
Donald Trump,43,1404,National,2024-07-13,2024-07-16,Online Panel,REP,0
Donald Trump,44,1404,National,2024-07-13,2024-07-16,Online Panel,REP,0
Donald Trump,46,536,Pennsylvania,2024-07-13,2024-07-16,Online Panel/Online Ad,REP,0
Kamala Harris,44,536,Pennsylvania,2024-07-13,2024-07-16,Online Panel/Online Ad,DEM,0
Donald Trump,46,536,Pennsylvania,2024-07-13,2024-07-16,Online Panel/Online Ad,REP,0
Donald Trump,47,514,Wisconsin,2024-07-13,2024-07-16,Online Panel/Online Ad,REP,0
Kamala Harris,48,514,Wisconsin,2024-07-13,2024-07-16,Online Panel/Online Ad,DEM,0
Donald Trump,48,514,Wisconsin,2024-07-13,2024-07-16,Online Panel/Online Ad,REP,0
Joe Biden,43,532,Michigan,2024-07-13,2024-07-16,Online Panel/Online Ad,DEM,0
Donald Trump,46,532,Michigan,2024-07-13,2024-07-16,Online Panel/Online Ad,REP,0
Kamala Harris,46,532,Michigan,2024-07-13,2024-07-16,Online Panel/Online Ad,DEM,0
Donald Trump,46,2045,National,2024-07-15,2024-07-15,Online Panel,REP,0
Kamala Harris,45,2045,National,2024-07-15,2024-07-15,Online Panel,DEM,0
Donald Trump,46,2045,National,2024-07-15,2024-07-15,Online Panel,REP,0
Donald Trump,43,2621,National,2024-07-15,2024-07-15,Online Panel,REP,0
Donald Trump,50.4,1000,Virginia,2024-07-14,2024-07-15,IVR/Online Panel/Text-to-Web,REP,0
Joe Biden,43,341,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Joe Biden,44,312,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Donald Trump,49,312,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Kamala Harris,42,341,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Donald Trump,47,341,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Donald Trump,49,312,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Donald Trump,42,341,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Joe Biden,37,312,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Donald Trump,44,312,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Donald Trump,44,341,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Donald Trump,46,312,Georgia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Joe Biden,41,301,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Donald Trump,44,301,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Joe Biden,44,265,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Donald Trump,44,265,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Donald Trump,47,265,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Joe Biden,40,301,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Donald Trump,40,301,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Joe Biden,43,265,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Donald Trump,42,265,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,REP,0
Kamala Harris,40,301,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Kamala Harris,41,265,Virginia,2024-07-14,2024-07-15,IVR/Online Panel,DEM,0
Joe Biden,49,1918,National,2024-07-13,2024-07-15,Online Panel,DEM,0
Joe Biden,40,1918,National,2024-07-13,2024-07-15,Online Panel,DEM,0
Joe Biden,39,1918,National,2024-07-13,2024-07-15,Online Panel,DEM,0
Kamala Harris,48,1918,National,2024-07-13,2024-07-15,Online Panel,DEM,0
Donald Trump,52,1918,National,2024-07-13,2024-07-15,Online Panel,REP,0
Donald Trump,45,4000,National,2024-07-13,2024-07-15,Online Panel,REP,0
Joe Biden,43,1098,National,2024-07-12,2024-07-15,Online Panel,DEM,0
Donald Trump,44,1098,National,2024-07-12,2024-07-15,Online Panel,REP,0
Donald Trump,45,1098,National,2024-07-12,2024-07-15,Online Panel,REP,0
Donald Trump,45,1098,National,2024-07-12,2024-07-15,Online Panel,REP,0
Donald Trump,46,1098,National,2024-07-12,2024-07-15,Online Panel,REP,0
Joe Biden,49.5,1000,National,2024-07-07,2024-07-15,App Panel,DEM,0
Donald Trump,50.5,1000,National,2024-07-07,2024-07-15,App Panel,REP,0
Joe Biden,41.4,1000,National,2024-07-07,2024-07-15,App Panel,DEM,0
Donald Trump,43.4,1000,National,2024-07-07,2024-07-15,App Panel,REP,0
Donald Trump,46.5,2426,National,2024-07-13,2024-07-14,Online Panel,REP,0
Joe Biden,42,11328,National,2024-07-12,2024-07-14,Online Panel,DEM,0
Donald Trump,44,11328,National,2024-07-12,2024-07-14,Online Panel,REP,0
Joe Biden,32.7,2019,National,2024-07-12,2024-07-14,Online Panel,DEM,0
Joe Biden,37,1698,National,2024-07-12,2024-07-14,Online Panel,DEM,0
Donald Trump,40.8,1499,National,2024-07-12,2024-07-14,Online Panel,REP,0
Kamala Harris,34.1,1698,National,2024-07-12,2024-07-14,Online Panel,DEM,0
Kamala Harris,37.3,1499,National,2024-07-12,2024-07-14,Online Panel,DEM,0
Donald Trump,41.6,1499,National,2024-07-12,2024-07-14,Online Panel,REP,0
Donald Trump,42,544,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Joe Biden,42,544,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,DEM,0
Donald Trump,41,617,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Donald Trump,42,544,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Donald Trump,38,617,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Donald Trump,37,617,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Kamala Harris,43,544,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,DEM,0
Donald Trump,38,544,Virginia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Joe Biden,43,549,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,DEM,0
Donald Trump,49,549,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Joe Biden,43,640,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,DEM,0
Donald Trump,46,640,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Donald Trump,46,640,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Kamala Harris,37,640,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,DEM,0
Donald Trump,46,640,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Donald Trump,49,549,Georgia,2024-07-12,2024-07-13,IVR/Online Panel,REP,0
Joe Biden,42,4000,National,2024-07-11,2024-07-13,Online Panel,DEM,0
Donald Trump,44,4000,National,2024-07-11,2024-07-13,Online Panel,REP,0
Joe Biden,50,708,Washington,2024-07-10,2024-07-13,Online Panel,DEM,0
Donald Trump,36,708,Washington,2024-07-10,2024-07-13,Online Panel,REP,0
Kamala Harris,51,708,Washington,2024-07-10,2024-07-13,Online Panel,DEM,0
Joe Biden,42.7,4616,National,2024-07-08,2024-07-13,Online Panel,DEM,0
Donald Trump,45.9,4616,National,2024-07-08,2024-07-13,Online Panel,REP,0
Kamala Harris,36,2100,National,2024-07-07,2024-07-13,Online Panel/Text-to-Web,DEM,0
Joe Biden,45,2100,National,2024-07-07,2024-07-13,Online Panel/Text-to-Web,DEM,0
Donald Trump,48,2100,National,2024-07-07,2024-07-13,Online Panel/Text-to-Web,REP,0
Donald Trump,47,2100,National,2024-07-07,2024-07-13,Online Panel/Text-to-Web,REP,0
Donald Trump,48,2100,National,2024-07-07,2024-07-13,Online Panel/Text-to-Web,REP,0
Joe Biden,47,653,Wisconsin,2024-07-11,2024-07-12,IVR/Text,DEM,0
